,BO,ZH
author,སངས་རྒྱས་ཤཀྱ་ཐུབ་པ།,
composition_date,,
source,,
presentation,,
usage_title,,法教未來祈願文 – 兒童版[zh]
title_short,,
title_long_clean,,
title_alt_1,,
title_alt_2,,
status,,AI draft
is_commentary_of,,
is_version_of,,
is_translation_of,བསྟན་འབར་མ།,
lang,zh,
