,BO,EN,ZH
author,,Buddha Shakyamuni,釋迦牟尼
composition_date,,,
source,,,
presentation,,Toh0225,Toh0225
usage_title,,,
title_short,,The Sutra of Taking Refuge in the Three Jewels,聖三歸依
title_long_clean,,The Sublime Mahayana Sutra of Taking Refuge in the Three Jewels,聖三歸依大乘經
title_alt_1,,,
title_alt_2,,,
is_commentary_of,,,
is_version_of,,,
is_translation_of,གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བའི་མདོ།,,
lang,,,
