,BO,EN,ZH
author,སངས་རྒྱས་ཤཀྱ་ཐུབ་པ།,Buddha Shakyamuni,
composition_date,,,
source,,,
presentation,Toh0225,Toh0225,
usage_title,,,
title_short,གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བའི་མདོ།,The Sutra of Taking Refuge in the Three Jewels,
title_long_clean,འཕགས་པ་གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།,The Sublime Mahayana Sutra of Taking Refuge in the Three Jewels,
title_alt_1,,,
title_alt_2,,,
is_commentary_of,,,
is_version_of,,,
is_translation_of,,,
lang,bo,,
