,BO,EN,ZH
author,སངས་རྒྱས་ཤཀྱ་ཐུབ་པ།,Buddha Shakyamuni,
composition_date,,,
source,,,
presentation,,,
usage_title,བསྟན་འབར་མ། ཕྲུ་གུའི་ཆེད་སྟབས་བདེར་བཏང་བ།,Prayer for the future of the Dharma - adapted for children – tibetan,
title_short,,,
title_long_clean,,,
title_alt_1,,,
title_alt_2,,,
status,མི་བཟོས་རིགས་ནུས་ཀྱི་ཚོད་ལྟ།,AI draft,
is_commentary_of,,,
is_version_of,,,
is_translation_of,བསྟན་འབར་མ།,,
lang,bo,,
